2019-12-27 15:11:41.200 [main] INFO  org.mongodb.driver.cluster - Cluster created with settings {hosts=[localhost:27017], mode=SINGLE, requiredClusterType=UNKNOWN, serverSelectionTimeout='30000 ms', maxWaitQueueSize=500}
2019-12-27 15:11:41.255 [cluster-ClusterId{value='5e05aead061a8a11d6fd6be8', description='null'}-localhost:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:1, serverValue:15}] to localhost:27017
2019-12-27 15:11:41.259 [cluster-ClusterId{value='5e05aead061a8a11d6fd6be8', description='null'}-localhost:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=localhost:27017, type=STANDALONE, state=CONNECTED, ok=true, version=ServerVersion{versionList=[4, 2, 1]}, minWireVersion=0, maxWireVersion=8, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=2450632}
2019-12-27 15:11:41.911 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2019-12-27 15:11:42.235 [main] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Context refreshed
2019-12-27 15:11:42.247 [main] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Found {0} custom documentation plugin(s)
2019-12-27 15:11:42.255 [main] INFO  s.d.spring.web.scanners.ApiListingReferenceScanner - Scanning for api listing references
2019-12-27 15:11:42.258 [main] INFO  s.d.s.web.ClassOrApiAnnotationResourceGrouping - Group for method list was user-controller
2019-12-27 15:11:42.260 [main] INFO  s.d.spring.web.scanners.ApiListingReferenceScanner - Request mapping: list belongs to groups: [[ResourceGroup{groupName='user-controller', position=0, controller=com.cicoding.integration.web.UserController}]] 
2019-12-27 15:11:42.261 [main] INFO  s.d.s.web.ClassOrApiAnnotationResourceGrouping - Group for method mongo was user-controller
2019-12-27 15:11:42.261 [main] INFO  s.d.spring.web.scanners.ApiListingReferenceScanner - Request mapping: mongo belongs to groups: [[ResourceGroup{groupName='user-controller', position=0, controller=com.cicoding.integration.web.UserController}]] 
2019-12-27 15:11:42.261 [main] INFO  s.d.s.web.ClassOrApiAnnotationResourceGrouping - Group for method postUser was user-controller
2019-12-27 15:11:42.261 [main] INFO  s.d.spring.web.scanners.ApiListingReferenceScanner - Request mapping: postUser belongs to groups: [[ResourceGroup{groupName='user-controller', position=0, controller=com.cicoding.integration.web.UserController}]] 
2019-12-27 15:11:42.264 [main] INFO  s.d.spring.web.scanners.ApiListingReferenceScanner - Created resource listing Path: /default/user-controller Description: user-controller Position: 0
2019-12-27 15:11:42.283 [main] INFO  s.documentation.schema.ModelContextKeyGenerator - Cache Key Generated: java.util.List(true)
2019-12-27 15:11:42.284 [main] INFO  s.documentation.spring.web.caching.CachingAspect - Caching aspect applied for cache models with key java.util.List(true)
2019-12-27 15:11:42.288 [main] INFO  s.documentation.schema.ModelContextKeyGenerator - Cache Key Generated: java.util.List(true)
2019-12-27 15:11:42.288 [main] INFO  s.documentation.spring.web.caching.CachingAspect - Caching aspect applied for cache modelDependencies with key java.util.List(true)
2019-12-27 15:11:42.292 [main] INFO  s.d.schema.property.ModelPropertiesKeyGenerator - Cache key generated: java.util.List(true)
2019-12-27 15:11:42.292 [main] INFO  s.documentation.spring.web.caching.CachingAspect - Caching aspect applied for cache modelProperties with key java.util.List(true)
2019-12-27 15:11:42.296 [main] INFO  s.documentation.spring.web.OperationsKeyGenerator - Cache key generated: /user/list.com.cicoding.integration.web.UserController.list.DefaultGenericTypeNamingStrategy
2019-12-27 15:11:42.296 [main] INFO  s.documentation.spring.web.caching.CachingAspect - Caching aspect applied for cache operations with key /user/list.com.cicoding.integration.web.UserController.list.DefaultGenericTypeNamingStrategy
2019-12-27 15:11:42.307 [main] INFO  s.d.s.web.ClassOrApiAnnotationResourceGrouping - Group for method list was user-controller
2019-12-27 15:11:42.315 [main] INFO  s.d.s.web.ClassOrApiAnnotationResourceGrouping - Group for method list was user-controller
2019-12-27 15:11:42.322 [main] INFO  s.documentation.schema.ModelContextKeyGenerator - Cache Key Generated: java.lang.String(true)
2019-12-27 15:11:42.322 [main] INFO  s.documentation.spring.web.caching.CachingAspect - Caching aspect applied for cache models with key java.lang.String(true)
2019-12-27 15:11:42.322 [main] INFO  s.documentation.schema.ModelContextKeyGenerator - Cache Key Generated: java.lang.String(true)
2019-12-27 15:11:42.322 [main] INFO  s.documentation.spring.web.caching.CachingAspect - Caching aspect applied for cache modelDependencies with key java.lang.String(true)
2019-12-27 15:11:42.322 [main] INFO  s.documentation.spring.web.OperationsKeyGenerator - Cache key generated: /user/mongo.com.cicoding.integration.web.UserController.mongo.DefaultGenericTypeNamingStrategy
2019-12-27 15:11:42.322 [main] INFO  s.documentation.spring.web.caching.CachingAspect - Caching aspect applied for cache operations with key /user/mongo.com.cicoding.integration.web.UserController.mongo.DefaultGenericTypeNamingStrategy
2019-12-27 15:11:42.323 [main] INFO  s.d.s.web.ClassOrApiAnnotationResourceGrouping - Group for method mongo was user-controller
2019-12-27 15:11:42.323 [main] INFO  s.d.s.web.ClassOrApiAnnotationResourceGrouping - Group for method mongo was user-controller
2019-12-27 15:11:42.324 [main] INFO  s.documentation.schema.ModelContextKeyGenerator - Cache Key Generated: java.lang.String(true)
2019-12-27 15:11:42.324 [main] INFO  s.documentation.spring.web.caching.CachingAspect - Caching aspect applied for cache models with key java.lang.String(true)
2019-12-27 15:11:42.324 [main] INFO  s.documentation.schema.ModelContextKeyGenerator - Cache Key Generated: java.lang.String(true)
2019-12-27 15:11:42.324 [main] INFO  s.documentation.spring.web.caching.CachingAspect - Caching aspect applied for cache modelDependencies with key java.lang.String(true)
2019-12-27 15:11:42.325 [main] INFO  s.documentation.spring.web.OperationsKeyGenerator - Cache key generated: /user/redis.com.cicoding.integration.web.UserController.postUser.DefaultGenericTypeNamingStrategy
2019-12-27 15:11:42.325 [main] INFO  s.documentation.spring.web.caching.CachingAspect - Caching aspect applied for cache operations with key /user/redis.com.cicoding.integration.web.UserController.postUser.DefaultGenericTypeNamingStrategy
2019-12-27 15:11:42.325 [main] INFO  s.d.s.web.ClassOrApiAnnotationResourceGrouping - Group for method postUser was user-controller
2019-12-27 15:11:42.325 [main] INFO  s.d.s.web.ClassOrApiAnnotationResourceGrouping - Group for method postUser was user-controller
2019-12-27 15:11:42.337 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8898"]
2019-12-27 15:11:42.358 [main] INFO  org.apache.tomcat.util.net.NioSelectorPool - Using a shared selector for servlet write/read
2019-12-27 15:11:42.371 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8898 (http) with context path ''
2019-12-27 15:11:42.375 [main] INFO  com.cicoding.integration.MmWebApplication - Started MmWebApplication in 6.046 seconds (JVM running for 6.862)
2019-12-27 15:11:54.604 [http-nio-8898-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2019-12-27 15:11:54.605 [http-nio-8898-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2019-12-27 15:11:54.614 [http-nio-8898-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 9 ms
2019-12-27 15:11:59.358 [Thread-14] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
